,Symbol,Open,High,Close,VWAP,Volume,Trades,Deliverable Volume,%Deliverble,Date,Low,Week_growth_%,Week_TradeAvg
6,DLF,213.5,215.25,214.55,211.31,12419020,66893,2093697,0.1686,2020-12-15,207.4,1.8693800283956403,76505.42857142857
6,TCS,2786.0,2794.7,2761.55,2768.65,2365509,152067,1252080,0.5293,2020-12-15,2755.0,1.8476676384839585,141956.7142857143
6,ICICIBANK,524.0,524.25,518.05,517.03,26969145,247714,13380321,0.4961,2020-12-15,513.1,1.6776570985259847,247122.85714285713
6,GAIL,126.45,126.45,125.25,125.17,16760552,64328,5690250,0.3395,2020-12-15,124.25,1.647909967845657,84043.14285714286
6,BIOCON,454.95,459.9,455.3,456.24,3057712,43964,487434,0.1594,2020-12-15,450.0,1.4559894109860942,52382.0
6,GODREJCP,725.0,726.8,722.8,720.54,1192361,36322,675037,0.5661,2020-12-15,714.35,1.3668061366806075,46539.28571428572
6,TATASTEEL,623.45,637.1,635.35,626.35,13226312,154016,3011926,0.2277,2020-12-15,617.35,1.2877583465818796,168753.42857142858
6,MCDOWELL-N,596.0,598.45,594.3,591.06,1373269,54499,548692,0.3996,2020-12-15,584.0,1.2691429054911583,44912.857142857145
6,RELIANCE,1989.7,1989.7,1974.35,1973.54,8561406,240918,3108604,0.36310000000000003,2020-12-15,1961.1,1.2569974554707404,285536.71428571426
6,HDFCBANK,1380.8,1394.95,1391.3,1380.9,10780718,213331,6133592,0.5689000000000001,2020-12-15,1366.0,1.0869959056487553,246717.57142857142
6,BPCL,408.3,409.25,398.6,400.78,8789331,112102,2408710,0.27399999999999997,2020-12-15,397.1,1.0493827160493827,106969.42857142857
6,ULTRACEMCO,5070.0,5230.0,5156.85,5164.75,1629308,83216,597464,0.3667,2020-12-15,5068.0,1.0432766615146831,85774.28571428571
